DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,L_MEASURE:Measure,L_POSITION:Balance sheet position,L_INSTR:Type of instruments,L_DENOM:Currency denomination,L_CURR_TYPE:Currency type of reporting country,L_PARENT_CTY:Parent country,L_REP_BANK_TYPE:Type of reporting institutions,L_REP_CTY:Reporting country,L_CP_SECTOR:Counterparty sector,L_CP_COUNTRY:Counterparty country,L_POS_TYPE:Position type,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_LBS_D_PUB,1.0",Q.F.C.A.TO1.A.LU.A.5A.I.5J.N,Q:Quarterly,F:FX and break adjusted change (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),LU:Luxembourg,"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"I:Banks, related offices",5J:All countries (total),N:Cross-border,US dollar,Millions,6/30/1983,F:Free,,A:Normal value,150.93
"BIS,WS_LBS_D_PUB,1.0",Q.F.C.A.TO1.A.LU.A.5A.I.5J.N,Q:Quarterly,F:FX and break adjusted change (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),LU:Luxembourg,"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"I:Banks, related offices",5J:All countries (total),N:Cross-border,US dollar,Millions,9/30/1983,F:Free,,A:Normal value,-11.16
"BIS,WS_LBS_D_PUB,1.0",Q.F.C.A.TO1.A.LU.A.5A.I.5J.N,Q:Quarterly,F:FX and break adjusted change (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),LU:Luxembourg,"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"I:Banks, related offices",5J:All countries (total),N:Cross-border,US dollar,Millions,12/31/1983,F:Free,,A:Normal value,-1.051
"BIS,WS_LBS_D_PUB,1.0",Q.F.C.A.TO1.A.LU.A.5A.I.5J.N,Q:Quarterly,F:FX and break adjusted change (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),LU:Luxembourg,"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"I:Banks, related offices",5J:All countries (total),N:Cross-border,US dollar,Millions,3/31/1984,F:Free,,A:Normal value,-20.519
"BIS,WS_LBS_D_PUB,1.0",Q.F.C.A.TO1.A.LU.A.5A.I.5J.N,Q:Quarterly,F:FX and break adjusted change (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),LU:Luxembourg,"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"I:Banks, related offices",5J:All countries (total),N:Cross-border,US dollar,Millions,6/30/1984,F:Free,,A:Normal value,29.485
"BIS,WS_LBS_D_PUB,1.0",Q.F.C.A.TO1.A.LU.A.5A.I.5J.N,Q:Quarterly,F:FX and break adjusted change (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),LU:Luxembourg,"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"I:Banks, related offices",5J:All countries (total),N:Cross-border,US dollar,Millions,9/30/1984,F:Free,,A:Normal value,9.241
"BIS,WS_LBS_D_PUB,1.0",Q.F.C.A.TO1.A.LU.A.5A.I.5J.N,Q:Quarterly,F:FX and break adjusted change (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),LU:Luxembourg,"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"I:Banks, related offices",5J:All countries (total),N:Cross-border,US dollar,Millions,12/31/1984,F:Free,,A:Normal value,-7.638
"BIS,WS_LBS_D_PUB,1.0",Q.F.C.A.TO1.A.LU.A.5A.I.5J.N,Q:Quarterly,F:FX and break adjusted change (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),LU:Luxembourg,"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"I:Banks, related offices",5J:All countries (total),N:Cross-border,US dollar,Millions,3/31/1985,F:Free,,A:Normal value,36.353
"BIS,WS_LBS_D_PUB,1.0",Q.F.C.A.TO1.A.LU.A.5A.I.5J.N,Q:Quarterly,F:FX and break adjusted change (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),LU:Luxembourg,"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"I:Banks, related offices",5J:All countries (total),N:Cross-border,US dollar,Millions,6/30/1985,F:Free,,A:Normal value,-33.661
"BIS,WS_LBS_D_PUB,1.0",Q.F.C.A.TO1.A.LU.A.5A.I.5J.N,Q:Quarterly,F:FX and break adjusted change (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),LU:Luxembourg,"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"I:Banks, related offices",5J:All countries (total),N:Cross-border,US dollar,Millions,9/30/1985,F:Free,,A:Normal value,18.405
